Data e Hora,CPU,RAM,DISCO
28/02/2026 16:41:34,49.1,71.9,93.5
28/02/2026 16:41:36,27.0,71.8,93.5
28/02/2026 16:41:38,68.5,71.8,93.5
28/02/2026 16:41:44,66.9,71.8,93.5
28/02/2026 16:41:46,25.0,71.3,93.5
28/02/2026 16:41:47,16.3,71.3,93.5
28/02/2026 16:41:48,12.1,71.2,93.5
28/02/2026 16:41:49,22.2,71.1,93.5
28/02/2026 16:41:50,11.7,71.1,93.5
28/02/2026 16:41:51,24.2,70.9,93.5
28/02/2026 16:41:52,36.4,71.1,93.5
28/02/2026 16:41:53,11.5,71.1,93.5
28/02/2026 16:41:54,7.0,71.1,93.5
28/02/2026 16:41:56,12.4,71.1,93.5
28/02/2026 16:41:57,6.2,71.1,93.5
28/02/2026 16:41:58,14.5,71.1,93.5
28/02/2026 16:41:59,76.1,71.4,93.5
28/02/2026 16:42:00,29.0,71.4,93.5
28/02/2026 16:42:01,26.6,71.3,93.5
28/02/2026 16:42:02,24.7,71.3,93.5
28/02/2026 16:42:03,25.9,71.3,93.5
28/02/2026 16:42:04,17.6,71.3,93.5
28/02/2026 16:42:05,18.6,71.3,93.5
28/02/2026 16:42:07,21.3,71.3,93.5
28/02/2026 16:42:08,38.9,71.3,93.5
28/02/2026 16:42:09,49.2,71.3,93.5
28/02/2026 16:42:10,35.3,71.2,93.5
28/02/2026 16:42:11,12.0,71.2,93.5
28/02/2026 16:42:12,25.2,71.3,93.5
28/02/2026 16:42:13,24.0,71.3,93.5
28/02/2026 16:42:14,36.5,71.3,93.5
28/02/2026 16:42:15,56.8,71.4,93.5
28/02/2026 16:42:17,53.7,71.4,93.5
28/02/2026 16:42:18,64.8,71.4,93.5
28/02/2026 16:42:19,19.0,71.4,93.5
28/02/2026 16:42:20,95.8,71.3,93.5
